"id[String]","name[String]","commonTemplate[Asset Reference]","rareTemplate[Asset Reference]","epicTemplate[Asset Reference]","legendaryTemplate[Asset Reference]"
"Raptor","Ravenous Raptor","9E2F2BD6AEADAD5C","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton","The Undead","61622F2211CAB173","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton2","The Undead","A5452C1E37777A36","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton3","The Undead","A85AA28CF13AE6CF","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton4","The Undead","C19087D1F2B48890","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Dragon","Dragon Whelp","4884213281BF078C","884C656BFFCF7DF3","62911BAB9068D370","0BADBADBADBADBAD"
"Spider","Spider","EAE977D32A595272","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Bandit","Thieving Rascal","9EE5CD428CBEE8FB","438EBE43D7A6BCD8","65C3CC97F56DDEA7","7677600E66B0B43A"
"MinionA","The Damned","E846D6FD4F543127","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"MinionB","The Blessed","A4B1705ED40E9F2E","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
